"","LAV_BLDG","LLIVING","YR_BUILT","LU","lmres"
"1",12.5776362019627,7.69712131728263,1900,"R3",0.136032872820471
"2",12.741102957993,7.74370325817375,1920,"R3",0.269464440410143
"3",12.6102035306252,7.72665366484764,1905,"R3",0.14955828078911
"4",12.5436157371529,7.61480536471107,1900,"R3",0.155088237394684
"5",12.5612965372016,7.84227877911735,1900,"R2",0.0548619885624513
"6",12.7149964620066,8.38068594676157,1900,"R3",-0.167356910280707
"7",12.8207175979352,8.3654396361887,1900,"R3",-0.0518052305337239
"8",12.8570948997894,8.31385226739821,1900,"R3",0.0178346686516416
"9",12.4517601612793,7.98514393119862,1900,"R3",-0.175554911911378
"10",12.710779588288,6.2709884318583,1890,"CD",0.0762388850471703
"11",12.5920150871495,5.99645208861902,1890,"CD",0.13449042585884
"12",12.6267547194432,5.96100533962327,1890,"CD",0.192085477341125
"13",12.710779588288,6.2709884318583,1890,"CD",0.0762388850471701
"14",12.559893520486,6.04025471127741,1890,"CD",0.0741257246123843
"15",15.3366417093064,9.83627880284268,1920,"A",0.565134504000843
"17",17.0615267289846,11.3277999808435,1899,"E",0.935635924485126
"19",15.9800627129932,10.6032378842296,1899,"E",0.321356372948827
"20",15.5463693256027,11.0771763917535,1899,"E",-0.417923945992371
"21",9.92127835354468,10.1480794350562,1910,"R4",-3.06038191214234
"22",9.84522264440415,8.34188696951619,1910,"R4",-1.97183756331724
"23",9.84522264440415,8.34188696951619,1910,"R4",-1.97183756331724
"24",9.84522264440415,8.34188696951619,1910,"R4",-1.97183756331724
"25",9.84522264440415,8.34188696951619,1910,"R4",-1.97183756331724
"26",9.84522264440415,8.34188696951619,1910,"R4",-1.97183756331724
"28",15.5561846059345,10.4388106479025,1948,"E",0.0034979579280247
"30",13.5448822400783,7.30854279753919,1920,"CD",0.241345348741246
"31",12.7218858108072,6.19440539110467,1920,"CD",0.136724459657854
"32",12.404513584204,5.56068163101553,1920,"CD",0.227965789923505
"33",12.7639726766821,6.21460809842219,1920,"CD",0.165784987220558
"34",13.1153387624674,6.64378973314767,1920,"CD",0.240422559176248
"35",12.4583865741442,5.7037824746562,1920,"CD",0.189569958030747
"36",12.8209879778205,6.31535800152233,1920,"CD",0.157838582876877
"37",12.753037315912,6.19440539110467,1920,"CD",0.167875964762688
"38",12.3104326608544,5.56068163101553,1920,"CD",0.133884866573911
"39",12.7719544750442,6.22851100359118,1920,"CD",0.164802445140252
"40",12.7131914073648,6.31535800152233,1920,"CD",0.0500420124211691
"41",12.4661265508645,5.72358510195238,1920,"CD",0.184541560761579
"42",12.4583865741442,5.7037824746562,1920,"CD",0.189569958030747
"43",12.8209879778205,6.31535800152233,1920,"CD",0.157838582876877
"44",12.753037315912,6.19440539110467,1920,"CD",0.167875964762688
"45",12.385891072106,5.56068163101553,1920,"CD",0.209343277825503
"46",12.7639726766821,6.21460809842219,1920,"CD",0.165784987220558
"47",12.8744147071711,6.31535800152233,1920,"CD",0.21126531222748
"48",12.4661265508645,5.72358510195238,1920,"CD",0.184541560761579
"49",12.4583865741442,5.7037824746562,1920,"CD",0.189569958030747
"50",12.9453875069351,6.31535800152233,1920,"CD",0.282238111991459
"51",12.753037315912,6.19440539110467,1920,"CD",0.167875964762688
"52",13.0587843957615,6.63987583382654,1920,"CD",0.18639180358224
"53",12.8161099193671,6.31535800152233,1920,"CD",0.152960524423445
"54",12.4661265508645,5.72358510195238,1920,"CD",0.184541560761579
"55",13.1052172185694,7.22256601882217,1920,"CD",-0.142883409253241
"56",12.6443275764613,6.30991827822652,1920,"CD",-0.015314383817156
"57",13.5260936482188,8.14612951002541,1899,"R4",1.83525429072223
"59",13.1305299400707,6.73933662735717,1870,"CD",0.194006836818614
"60",13.311163900296,6.73933662735717,1870,"CD",0.374640797043884
"61",13.2378326272104,6.58479139238572,1870,"CD",0.400957481216455
"62",13.2723339039806,6.71174039505618,1870,"CD",0.353604349506143
"63",14.4844162741512,8.18060094759445,1920,"A",0.780460043053704
"65",12.8322784203362,6.46614472423762,1900,"CD",0.0719044884924203
"66",12.9091701569433,6.62671774924902,1900,"CD",0.0452616584329605
"67",12.6813747132271,6.24804287450843,1900,"CD",0.0616288881233452
"68",13.1943118767169,6.75925527066369,1900,"CD",0.24494559446149
"69",13.3109982962549,6.82001636467413,1900,"CD",0.32245436546162
"70",13.1346871270932,6.66949808985788,1900,"CD",0.243194642876214
"71",13.1721054692991,6.66949808985788,1900,"CD",0.280612985082198
"72",13.9946604235926,7.454719949364,1900,"CD",0.596871162845082
"73",14.008689624759,7.47022413589997,1900,"CD",0.60090354646133
"74",13.5410737122625,8.27154837475551,1870,"R3",0.729090261846486
"75",13.2616034444958,8.50512061018197,1915,"A",-0.651597163970599
"77",13.3668769544547,6.91473089271856,1915,"CD",0.317262818267968
"78",13.3440658909221,6.84694313958538,1915,"CD",0.33816006530274
"79",13.3796377874347,6.76388490856244,1915,"CD",0.427286398847515
"80",13.3038512534497,6.74170069465205,1915,"CD",0.365803842594072
"81",13.742294495633,7.2152399787301,1915,"CD",0.498917565245028
"82",13.7501183391972,8.53934599605737,1920,"R4",1.80574014175819
"84",12.8177385842222,6.289715570909,1920,"CD",0.171122962255936
"85",12.962429339488,6.46302945692067,1920,"CD",0.204064075362116
"86",12.9527605930181,6.31173480915291,1920,"CD",0.29194736663013
"87",13.0869434321731,6.45833828334479,1920,"CD",0.33160295146458
"88",13.1659974144244,6.57646956904822,1920,"CD",0.334488028794333
"89",13.0869434321731,6.45833828334479,1920,"CD",0.33160295146458
"90",13.1950560627978,6.57646956904822,1920,"CD",0.363546677167712
"91",13.0869434321731,6.45833828334479,1920,"CD",0.33160295146458
"92",13.1659974144244,6.57646956904822,1920,"CD",0.334488028794333
"93",13.0869434321731,6.45833828334479,1920,"CD",0.33160295146458
"94",13.8105985136033,10.9228040767214,1900,"RC",-0.622350012867734
"95",14.0388940804831,8.97752520096524,1899,"E",-0.571582283361532
"97",12.6208278005454,6.26149168432104,1890,"CD",-0.00758957257227683
"98",12.8125720193644,6.61740297797448,1890,"CD",-0.0453304840079071
"99",13.5085777059204,7.21670948670946,1890,"CD",0.26425326350882
"100",13.586851825962,7.2283884515736,1890,"CD",0.334996999376383
"101",13.5184513236999,7.1276936993474,1890,"CD",0.331522642315807
"102",13.2855021147815,6.99209642741589,1890,"CD",0.186004088637256
"104",12.7605323063162,6.7719355558396,1900,"CD",-0.197009993242243
"105",13.2136655358111,6.96034772910131,1900,"CD",0.134638493021583
"106",13.389026082632,7.02731451403978,1900,"CD",0.266820074638594
"107",13.1883383663279,7.01391547481053,1900,"CD",0.0747718151812328
"108",13.5330150121998,6.94022246911964,1900,"CD",0.466964371088594
"109",14.1640525186728,8.87849740373863,1899,"A",0.0101053432068939
"111",12.9091701569433,6.95654544315157,1890,"CD",-0.167405241006645
"112",12.2968270087986,6.4281052726846,1890,"CD",-0.439019776393404
"113",12.2968270087986,6.32256523992728,1890,"CD",-0.370969482412075
"114",12.2968270087986,6.4281052726846,1890,"CD",-0.439019776393404
"115",12.2968270087986,6.3261494731551,1890,"CD",-0.373280530821651
"116",12.2968270087986,6.3456363608286,1890,"CD",-0.38584532164384
"117",12.2968270087986,6.21860011969173,1890,"CD",-0.303934663386556
"118",12.7896839390218,6.64639051484773,1890,"CD",-0.0869092010168719
"119",11.7158663089669,5.92958914338989,1890,"CD",-0.698546341076172
"120",11.7158663089669,5.94017125272043,1890,"CD",-0.705369492747363
"122",12.0581525154536,5.94542060860658,1890,"CD",-0.366467975481796
